table	jmp	idx	variant	target	line	rexxcps	varlookup	arith	emptyloop	dispatch	compound
0x40300	1e2524	11	TraceFunction	0x1e2526	drive.rs:?	3360000	0	0	0	0	0
0x40300	1e2524	12	SelectCaseText	0x1e3724	roots.rs:?	0	0	0	0	0	0
0x40300	1e2524	13	WhenTest	0x1e2c14	drive.rs:1764	0	0	0	0	0	0
0x40300	1e2524	14	EndBranch	0x1e3677	drive.rs:?	0	0	0	0	0	0
0x40300	1e2524	15	EndWhen	0x1e3786	mod.rs:?	0	0	0	0	0	0
0x40300	1e2524	16	EnterWhen	0x1e3885	drive.rs:?	0	0	0	0	0	0
0x40300	1e2524	17	EnterOtherwise	0x1e3b25	drive.rs:?	0	0	0	0	0	0
0x40300	1e2524	18	Const	0x1e2d43	drive.rs:877	0	0	0	0	0	0
0x40300	1e2524	19	LoadConstant	0x1e277a	drive.rs:916	1120000	0	0	0	0	0
0x40300	1e2524	20	TraceLiteral	0x1e2526	drive.rs:?	3360000	0	0	0	0	0
0x40300	1e2524	21	Load	0x1e2668	drive.rs:985	1120000	0	0	0	0	0
0x40300	1e2524	22	TraceRead	0x1e2526	drive.rs:?	3360000	0	0	0	0	0
0x40300	1e2524	23	Arith	0x1e2e25	drive.rs:1086	560000	0	0	0	0	0
0x40300	1e2524	24	Binary	0x1e271d	drive.rs:1147	560000	0	0	0	0	0
0x40300	1e2524	25	TraceOperator	0x1e2526	drive.rs:?	3360000	0	0	0	0	0
0x40300	1e2524	26	Prefix	0x1e2bb4	drive.rs:1208	0	0	0	0	0	0
0x40300	1e2524	27	TracePrefix	0x1e2526	drive.rs:?	3360000	0	0	0	0	0
0x40300	1e2524	28	Store	0x1e299d	drive.rs:1258	560000	0	0	0	0	0
0x40300	1e2524	29	Say	0x1e27f3	drive.rs:1398	0	0	0	0	0	0
0x40300	1e2524	30	Signal	0x1e3a90	run.rs:?	0	0	0	0	0	0
0x40300	1e2524	31	Parse	0x1e36d9	mod.rs:?	0	0	0	0	0	0
0x40300	1e2524	32	Return	0x1e38e7	drive.rs:1449	0	0	0	0	0	0
0x40300	1e2524	33	Queue	0x1e2949	drive.rs:1508	0	0	0	0	0	0
0x40300	1e2524	34	Call	0x1e3b87	mod.rs:?	0	0	0	0	0	0
0x40300	1e2524	35	CallNamed	0x1e3c9d	drive.rs:1580	0	0	0	0	0	0
0x40300	1e2524	36	Message	0x1e362b	drive.rs:?	0	0	0	0	0	0
0x40300	1e2524	37	Expose	0x1e391d	roots.rs:?	0	0	0	0	0	0
0x40300	1e2524	38	Exec	0x1e35c5	drive.rs:1630	0	0	0	0	0	0
0x40300	1e2524	39	Escape	0x1e37e8	mod.rs:?	0	0	0	0	0	0
0x40300	1e2524	40	Jump	0x1e35af	drive.rs:?	0	0	0	0	0	0
0x40300	1e2524	41	JumpUnless	0x1e2dd6	drive.rs:1752	0	0	0	0	0	0
0x40300	1e2524	42	ConditionJump	0x1e2b56	drive.rs:1704	560000	0	0	0	0	0
# table at 0x40458 for jmp 1e4431 is not indexed by the op tag, skipped
