table	jmp	idx	variant	target	line	rexxcps	varlookup	arith	emptyloop	dispatch	compound
0x3e7f4	13d387	25	TraceOperator	0x13d389	drive.rs:?	38460944	5	5	5	5	5
0x3e7f4	13d387	26	Prefix	0x13da30	drive.rs:1208	0	0	0	0	0	0
0x3e7f4	13d387	27	TracePrefix	0x13d389	drive.rs:?	38460944	5	5	5	5	5
0x3e7f4	13d387	28	Store	0x13d808	drive.rs:1258	3120256	38000048	2500048	47	5000049	10000550
0x3e7f4	13d387	29	Say	0x13d65e	drive.rs:1398	7	1	1	1	1	1
0x3e7f4	13d387	30	Signal	0x13e957	run.rs:?	1	0	0	0	0	0
0x3e7f4	13d387	31	Parse	0x13e57e	mod.rs:?	2240002	0	0	0	0	0
0x3e7f4	13d387	32	Return	0x13e79a	drive.rs:1449	280007	6	6	6	7	6
0x3e7f4	13d387	33	Queue	0x13d7b4	drive.rs:1508	0	0	0	0	0	0
0x3e7f4	13d387	34	Call	0x13ea51	mod.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	35	CallNamed	0x13eb52	drive.rs:1580	280202	2	2	2	2	2
0x3e7f4	13d387	36	Message	0x13e4b0	drive.rs:?	118	118	118	118	5000118	118
0x3e7f4	13d387	37	Expose	0x13e7d0	roots.rs:?	6	6	6	6	5000008	6
0x3e7f4	13d387	38	Exec	0x13e444	drive.rs:1630	560207	7	1000007	7	7	7
0x3e7f4	13d387	39	Escape	0x13e690	mod.rs:?	560000	0	0	0	0	0
0x3e7f4	13d387	40	Jump	0x13e42e	drive.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	41	JumpUnless	0x13dc5a	drive.rs:1752	0	0	0	0	0	0
0x3e7f4	13d387	42	ConditionJump	0x13d9d2	drive.rs:1704	5900006	5	5	5	5	5
# table at 0x3e94c for jmp 13f268 is not indexed by the op tag, skipped
