task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
7-M2-control	ced6c209	emptyloop	head	absolute	tw	small	cycles:u	8234677054.000000	8225255561.000000	8251725725.000000	5
7-M2-control	ced6c209	emptyloop	head	absolute	ir	small	cycles:u	8570360280.000000	8561792209.000000	8698157636.000000	5
7-M2-control	ced6c209	emptyloop	head	arm_ratio	ir/tw	large	cycles:u	1.040495	1.037630	1.060863	5
7-M2-control	ced6c209	emptyloop	head	absolute	tw	large	cycles:u	16477069118.000000	16454040107.000000	16485853339.000000	5
7-M2-control	ced6c209	emptyloop	head	absolute	ir	large	cycles:u	17145104633.000000	17102810865.000000	17455476794.000000	5
7-M2-control	ced6c209	emptyloop	head	per_pass	tw	-	cycles:u	329.915629	328.665745	330.170169	5
7-M2-control	ced6c209	emptyloop	head	fixed	tw	-	cycles:u	-13213674.999999	-26557996.000000	31821419.000001	5
7-M2-control	ced6c209	emptyloop	head	per_pass	ir	-	cycles:u	342.440524	338.211378	355.404661	5
7-M2-control	ced6c209	emptyloop	head	fixed	ir	-	cycles:u	10229031.000000	-314756234.000000	242873175.000001	5
7-M2-control	ced6c209	emptyloop	head	per_pass_gap	ir-tw	-	cycles:u	13.204906	8.041209	26.738916	5
7-M2-control	ced6c209	emptyloop	control	arm_ratio	ir/tw	small	instructions:u	1.065962	1.065962	1.065962	5
7-M2-control	ced6c209	emptyloop	control	absolute	tw	small	instructions:u	37900660010.000000	37900659719.000000	37900660301.000000	5
7-M2-control	ced6c209	emptyloop	control	absolute	ir	small	instructions:u	40400668757.000000	40400668376.000000	40400669067.000000	5
7-M2-control	ced6c209	emptyloop	control	arm_ratio	ir/tw	large	instructions:u	1.065963	1.065963	1.065963	5
7-M2-control	ced6c209	emptyloop	control	absolute	tw	large	instructions:u	75800710603.000000	75800710402.000000	75800710659.000000	5
7-M2-control	ced6c209	emptyloop	control	absolute	ir	large	instructions:u	80800719521.000000	80800719045.000000	80800720967.000000	5
7-M2-control	ced6c209	emptyloop	control	per_pass	tw	-	instructions:u	1516.002023	1516.002014	1516.002027	5
7-M2-control	ced6c209	emptyloop	control	fixed	tw	-	instructions:u	609417.000000	609036.000000	609943.000000	5
7-M2-control	ced6c209	emptyloop	control	per_pass	ir	-	instructions:u	1616.002037	1616.002018	1616.002088	5
7-M2-control	ced6c209	emptyloop	control	fixed	ir	-	instructions:u	617727.000000	616547.000000	618613.000000	5
7-M2-control	ced6c209	emptyloop	control	per_pass_gap	ir-tw	-	instructions:u	100.000014	99.999991	100.000074	5
7-M2-control	ced6c209	emptyloop	control	arm_ratio	ir/tw	small	cycles:u	1.069953	1.064917	1.076041	5
7-M2-control	ced6c209	emptyloop	control	absolute	tw	small	cycles:u	8208335651.000000	8199664061.000000	8230403895.000000	5
7-M2-control	ced6c209	emptyloop	control	absolute	ir	small	cycles:u	8773817212.000000	8757761858.000000	8847316681.000000	5
7-M2-control	ced6c209	emptyloop	control	arm_ratio	ir/tw	large	cycles:u	1.064839	1.050483	1.069427	5
7-M2-control	ced6c209	emptyloop	control	absolute	tw	large	cycles:u	16447493938.000000	16382575702.000000	16860606403.000000	5
7-M2-control	ced6c209	emptyloop	control	absolute	ir	large	cycles:u	17544519097.000000	17480238594.000000	17711775331.000000	5
7-M2-control	ced6c209	emptyloop	control	per_pass	tw	-	cycles:u	328.683602	326.419081	346.090830	5
7-M2-control	ced6c209	emptyloop	control	fixed	tw	-	cycles:u	-7885783.000000	-443935101.000000	61621670.000000	5
7-M2-control	ced6c209	emptyloop	control	per_pass	ir	-	cycles:u	350.787556	345.316877	358.160539	5
7-M2-control	ced6c209	emptyloop	control	fixed	ir	-	cycles:u	5141305.000000	-196251615.000000	214394768.000000	5
7-M2-control	ced6c209	emptyloop	control	per_pass_gap	ir-tw	-	cycles:u	19.784228	12.069709	22.597808	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	tw	small	instructions:u	1.000000	1.000000	1.000000	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	ir	small	instructions:u	1.000000	1.000000	1.000000	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	tw	large	instructions:u	1.000000	1.000000	1.000000	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	ir	large	instructions:u	1.000000	1.000000	1.000000	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	tw	small	cycles:u	0.996801	0.993691	1.000626	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	ir	small	cycles:u	1.023535	1.017148	1.023858	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	tw	large	cycles:u	0.998205	0.993735	1.022936	5
7-M2-control	ced6c209	emptyloop	head>control	across_builds	ir	large	cycles:u	1.021252	1.005101	1.035606	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	arm_ratio	ir/tw	small	instructions:u	1.072513	1.072513	1.072513	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	tw	small	instructions:u	72580654008.000000	72580653590.000000	72580654582.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	ir	small	instructions:u	77843660666.000000	77843660136.000000	77843661161.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	arm_ratio	ir/tw	large	instructions:u	1.072513	1.072513	1.072513	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	tw	large	instructions:u	145160693849.000000	145160693542.000000	145160693922.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	ir	large	instructions:u	155686700406.000000	155686700203.000000	155686700841.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	per_pass	tw	-	instructions:u	3820.002081	3820.002071	3820.002110	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	fixed	tw	-	instructions:u	614474.000000	613603.000000	615242.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	per_pass	ir	-	instructions:u	4097.002081	4097.002074	4097.002142	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	fixed	ir	-	instructions:u	621129.000000	619431.000000	621671.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	per_pass_gap	ir-tw	-	instructions:u	277.000008	276.999981	277.000038	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	arm_ratio	ir/tw	small	cycles:u	1.076008	1.049851	1.084451	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	tw	small	cycles:u	15410449266.000000	15338187079.000000	15775934844.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	ir	small	cycles:u	16581770897.000000	16562384854.000000	16685528545.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	arm_ratio	ir/tw	large	cycles:u	1.077652	1.067556	1.080336	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	tw	large	cycles:u	30737735556.000000	30676277352.000000	31337062780.000000	5
