task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
3	71153941a	alloc4c	base>control	across_builds	tw	large	cycles:u	1.005339	0.975845	1.014072	5
3	71153941a	alloc4c	base>control	across_builds	ir	large	cycles:u	0.993380	0.969212	1.013600	5
3	71153941a	alloc4c	base>head	across_builds	tw	small	instructions:u	1.003069	1.002970	1.003151	5
3	71153941a	alloc4c	base>head	across_builds	ir	small	instructions:u	1.003677	1.003600	1.003710	5
3	71153941a	alloc4c	base>head	across_builds	tw	large	instructions:u	1.003066	1.003034	1.003112	5
3	71153941a	alloc4c	base>head	across_builds	ir	large	instructions:u	1.003567	1.003557	1.003588	5
3	71153941a	alloc4c	base>head	across_builds	tw	small	cycles:u	1.015571	0.985768	1.040453	5
3	71153941a	alloc4c	base>head	across_builds	ir	small	cycles:u	0.983293	0.954915	1.034241	5
3	71153941a	alloc4c	base>head	across_builds	tw	large	cycles:u	0.999031	0.977044	1.062586	5
3	71153941a	alloc4c	base>head	across_builds	ir	large	cycles:u	0.987539	0.960308	1.017565	5
3	71153941a	arith	base	arm_ratio	ir/tw	small	instructions:u	0.926075	0.924381	0.927713	5
3	71153941a	arith	base	absolute	tw	small	instructions:u	6955962411.000000	6944891763.000000	6969207051.000000	5
3	71153941a	arith	base	absolute	ir	small	instructions:u	6442858944.000000	6431148735.000000	6442891805.000000	5
3	71153941a	arith	base	arm_ratio	ir/tw	large	instructions:u	0.915482	0.915333	0.916877	5
3	71153941a	arith	base	absolute	tw	large	instructions:u	13803811591.000000	13782488232.000000	13803902128.000000	5
3	71153941a	arith	base	absolute	ir	large	instructions:u	12637116192.000000	12634976445.000000	12637372735.000000	5
3	71153941a	arith	base	per_pass	tw	-	instructions:u	27350.669828	27300.965720	27435.679312	5
3	71153941a	arith	base	fixed	tw	-	instructions:u	108022694.000000	85971935.000000	134564591.000000	5
3	71153941a	arith	base	per_pass	ir	-	instructions:u	24777.923720	24769.058040	24815.310840	5
3	71153941a	arith	base	fixed	ir	-	instructions:u	248410875.000000	227321025.000000	250594434.000000	5
3	71153941a	arith	base	per_pass_gap	ir-tw	-	instructions:u	-2572.746108	-2658.571588	-2485.654880	5
3	71153941a	arith	base	arm_ratio	ir/tw	small	cycles:u	0.922492	0.892875	0.944690	5
3	71153941a	arith	base	absolute	tw	small	cycles:u	2851684310.000000	2081918315.000000	3014937158.000000	5
3	71153941a	arith	base	absolute	ir	small	cycles:u	2691962244.000000	1906581402.000000	2714569351.000000	5
3	71153941a	arith	base	arm_ratio	ir/tw	large	cycles:u	0.911942	0.881931	1.239228	5
3	71153941a	arith	base	absolute	tw	large	cycles:u	5670736649.000000	4052340438.000000	5814834324.000000	5
3	71153941a	arith	base	absolute	ir	large	cycles:u	5145582603.000000	3695501057.000000	5219791200.000000	5
3	71153941a	arith	base	per_pass	tw	-	cycles:u	11183.566596	5379.771824	11279.077416	5
3	71153941a	arith	base	fixed	tw	-	cycles:u	111496192.000000	31914956.000000	1462362872.000000	5
3	71153941a	arith	base	per_pass	ir	-	cycles:u	9745.286008	7155.678620	10223.462856	5
3	71153941a	arith	base	fixed	ir	-	cycles:u	168125934.000000	33851175.000000	282151504.000000	5
3	71153941a	arith	base	per_pass_gap	ir-tw	-	cycles:u	-1175.746884	-1454.302656	4843.691032	5
3	71153941a	arith	control	arm_ratio	ir/tw	small	instructions:u	0.927406	0.925988	0.928489	5
3	71153941a	arith	control	absolute	tw	small	instructions:u	7014175692.000000	7013270632.000000	7028057019.000000	5
3	71153941a	arith	control	absolute	ir	small	instructions:u	6504912279.000000	6495040268.000000	6525474636.000000	5
3	71153941a	arith	control	arm_ratio	ir/tw	large	instructions:u	0.916341	0.913316	0.918222	5
3	71153941a	arith	control	absolute	tw	large	instructions:u	13926731623.000000	13898352764.000000	13948949106.000000	5
3	71153941a	arith	control	absolute	ir	large	instructions:u	12761633055.000000	12739791512.000000	12761839238.000000	5
3	71153941a	arith	control	per_pass	tw	-	instructions:u	27622.701152	27531.686828	27739.093656	5
3	71153941a	arith	control	fixed	tw	-	instructions:u	107595344.000000	79402278.000000	132509350.000000	5
3	71153941a	arith	control	per_pass	ir	-	instructions:u	25026.672368	24944.633676	25027.707836	5
3	71153941a	arith	control	fixed	ir	-	instructions:u	248243996.000000	247985320.000000	289316217.000000	5
3	71153941a	arith	control	per_pass_gap	ir-tw	-	instructions:u	-2650.064740	-2760.088680	-2504.375804	5
3	71153941a	arith	control	arm_ratio	ir/tw	small	cycles:u	0.940102	0.918266	0.960937	5
3	71153941a	arith	control	absolute	tw	small	cycles:u	3032521297.000000	2198247724.000000	3136447365.000000	5
3	71153941a	arith	control	absolute	ir	small	cycles:u	2880092691.000000	2066578139.000000	2906918355.000000	5
3	71153941a	arith	control	arm_ratio	ir/tw	large	cycles:u	0.926283	0.816061	0.931795	5
3	71153941a	arith	control	absolute	tw	large	cycles:u	6010044033.000000	4313031870.000000	6209506126.000000	5
3	71153941a	arith	control	absolute	ir	large	cycles:u	5521022193.000000	3995089981.000000	5634595864.000000	5
3	71153941a	arith	control	per_pass	tw	-	cycles:u	11902.544596	8459.136584	12292.235044	5
3	71153941a	arith	control	fixed	tw	-	cycles:u	63388604.000000	-14341857.000000	92722588.000000	5
3	71153941a	arith	control	per_pass	ir	-	cycles:u	10456.415352	7714.047368	11085.957400	5
3	71153941a	arith	control	fixed	ir	-	cycles:u	162436408.000000	56896227.000000	692851618.000000	5
3	71153941a	arith	control	per_pass_gap	ir-tw	-	cycles:u	-1178.429012	-3543.270752	-745.089216	5
3	71153941a	arith	head	arm_ratio	ir/tw	small	instructions:u	0.926319	0.925490	0.927401	5
3	71153941a	arith	head	absolute	tw	small	instructions:u	7013268713.000000	7012771316.000000	7028787035.000000	5
3	71153941a	arith	head	absolute	ir	small	instructions:u	6503826724.000000	6495334627.000000	6505073476.000000	5
3	71153941a	arith	head	arm_ratio	ir/tw	large	instructions:u	0.916836	0.914189	0.918188	5
3	71153941a	arith	head	absolute	tw	large	instructions:u	13919037423.000000	13898596014.000000	13959633782.000000	5
3	71153941a	arith	head	absolute	ir	large	instructions:u	12761528265.000000	12759583584.000000	12761740932.000000	5
3	71153941a	arith	head	per_pass	tw	-	instructions:u	27614.850028	27542.010456	27723.386988	5
3	71153941a	arith	head	fixed	tw	-	instructions:u	109556206.000000	97940288.000000	127590786.000000	5
3	71153941a	arith	head	per_pass	ir	-	instructions:u	25030.326132	25023.027440	25065.427628	5
3	71153941a	arith	head	fixed	ir	-	instructions:u	246365199.000000	228977720.000000	248406020.000000	5
3	71153941a	arith	head	per_pass_gap	ir-tw	-	instructions:u	-2569.121928	-2696.717164	-2511.684324	5
3	71153941a	arith	head	arm_ratio	ir/tw	small	cycles:u	0.919581	0.904569	0.955409	5
3	71153941a	arith	head	absolute	tw	small	cycles:u	2930607792.000000	2182165486.000000	2951568922.000000	5
3	71153941a	arith	head	absolute	ir	small	cycles:u	2699152191.000000	1973919344.000000	2808558880.000000	5
3	71153941a	arith	head	arm_ratio	ir/tw	large	cycles:u	0.911492	0.889198	0.920832	5
3	71153941a	arith	head	absolute	tw	large	cycles:u	5713166545.000000	4333556206.000000	5905954088.000000	5
3	71153941a	arith	head	absolute	ir	large	cycles:u	5258454908.000000	3853389166.000000	5336873004.000000	5
3	71153941a	arith	head	per_pass	tw	-	cycles:u	11157.611992	8605.562880	11901.385184	5
3	71153941a	arith	head	fixed	tw	-	cycles:u	107429183.000000	-44738504.000000	166114271.000000	5
3	71153941a	arith	head	per_pass	ir	-	cycles:u	10075.703680	7517.879288	10550.883252	5
3	71153941a	arith	head	fixed	ir	-	cycles:u	163205071.000000	61431378.000000	358662852.000000	5
3	71153941a	arith	head	per_pass_gap	ir-tw	-	cycles:u	-1087.683592	-1684.076396	-825.675704	5
3	71153941a	arith	base>control	across_builds	tw	small	instructions:u	1.008444	1.008053	1.010084	5
3	71153941a	arith	base>control	across_builds	ir	small	instructions:u	1.009631	1.008273	1.012823	5
3	71153941a	arith	base>control	across_builds	tw	large	instructions:u	1.009901	1.008365	1.010508	5
3	71153941a	arith	base>control	across_builds	ir	large	instructions:u	1.009868	1.008125	1.010020	5
3	71153941a	arith	base>control	across_builds	tw	small	cycles:u	1.055876	1.005832	1.099858	5
3	71153941a	arith	base>control	across_builds	ir	small	cycles:u	1.079851	1.067763	1.092160	5
3	71153941a	arith	base>control	across_builds	tw	large	cycles:u	1.066357	1.027083	1.447419	5
3	71153941a	arith	base>control	across_builds	ir	large	cycles:u	1.081069	0.970792	1.094737	5
3	71153941a	arith	base>head	across_builds	tw	small	instructions:u	1.008394	1.006322	1.012080	5
3	71153941a	arith	base>head	across_builds	ir	small	instructions:u	1.009656	1.008253	1.009980	5
3	71153941a	arith	base>head	across_builds	tw	large	instructions:u	1.009907	1.006860	1.011288	5
3	71153941a	arith	base>head	across_builds	ir	large	instructions:u	1.009850	1.009822	1.010029	5
3	71153941a	arith	base>head	across_builds	tw	small	cycles:u	1.035027	0.975025	1.048151	5
3	71153941a	arith	base>head	across_builds	ir	small	cycles:u	1.035319	0.988050	1.058856	5
3	71153941a	arith	base>head	across_builds	tw	large	cycles:u	1.021909	0.982516	1.422351	5
3	71153941a	arith	base>head	across_builds	ir	large	cycles:u	1.025383	1.010505	1.042724	5
3	71153941a	compound	base	arm_ratio	ir/tw	small	instructions:u	0.734974	0.734944	0.734998	5
3	71153941a	compound	base	absolute	tw	small	instructions:u	7537251099.000000	7537132442.000000	7537419639.000000	5
3	71153941a	compound	base	absolute	ir	small	instructions:u	5539728613.000000	5539510627.000000	5539860790.000000	5
3	71153941a	compound	base	arm_ratio	ir/tw	large	instructions:u	0.732249	0.732230	0.732253	5
3	71153941a	compound	base	absolute	tw	large	instructions:u	14920899214.000000	14920792470.000000	14921118553.000000	5
3	71153941a	compound	base	absolute	ir	large	instructions:u	10925818069.000000	10925622003.000000	10925886066.000000	5
3	71153941a	compound	base	per_pass	tw	-	instructions:u	2953.436227	2953.349132	2953.559624	5
3	71153941a	compound	base	fixed	tw	-	instructions:u	153650121.000000	153233381.000000	154046808.000000	5
3	71153941a	compound	base	per_pass	ir	-	instructions:u	2154.438582	2154.377559	2154.522977	5
3	71153941a	compound	base	fixed	ir	-	instructions:u	153632159.000000	153203185.000000	153863755.000000	5
3	71153941a	compound	base	per_pass_gap	ir-tw	-	instructions:u	-798.997645	-799.136871	-798.905802	5
3	71153941a	compound	base	arm_ratio	ir/tw	small	cycles:u	0.670366	0.459815	0.988902	5
3	71153941a	compound	base	absolute	tw	small	cycles:u	2063193398.000000	1726226240.000000	2583149991.000000	5
3	71153941a	compound	base	absolute	ir	small	cycles:u	1184754489.000000	1081768350.000000	1822826827.000000	5
3	71153941a	compound	base	arm_ratio	ir/tw	large	cycles:u	0.638282	0.539151	0.724762	5
3	71153941a	compound	base	absolute	tw	large	cycles:u	3908491340.000000	3278337041.000000	4975738520.000000	5
3	71153941a	compound	base	absolute	ir	large	cycles:u	2119653837.000000	2092501983.000000	3606226123.000000	5
3	71153941a	compound	base	per_pass	tw	-	cycles:u	643.039884	486.057457	1252.981812	5
3	71153941a	compound	base	fixed	tw	-	cycles:u	199474199.000000	-1289170542.000000	848049755.000000	5
3	71153941a	compound	base	per_pass	ir	-	cycles:u	410.198916	363.098998	713.359718	5
3	71153941a	compound	base	fixed	ir	-	cycles:u	106131756.000000	39427531.000000	277006995.000000	5
3	71153941a	compound	base	per_pass_gap	ir-tw	-	cycles:u	-258.059462	-539.622094	-122.958460	5
3	71153941a	compound	control	arm_ratio	ir/tw	small	instructions:u	0.734318	0.734284	0.734347	5
3	71153941a	compound	control	absolute	tw	small	instructions:u	7537329528.000000	7537172008.000000	7537438983.000000	5
3	71153941a	compound	control	absolute	ir	small	instructions:u	5534869112.000000	5534542600.000000	5534987910.000000	5
3	71153941a	compound	control	arm_ratio	ir/tw	large	instructions:u	0.731569	0.731562	0.731574	5
3	71153941a	compound	control	absolute	tw	large	instructions:u	14921101072.000000	14920976426.000000	14921119070.000000	5
3	71153941a	compound	control	absolute	ir	large	instructions:u	10915749224.000000	10915724521.000000	10915833228.000000	5
3	71153941a	compound	control	per_pass	tw	-	instructions:u	2953.472035	2953.467338	2953.523120	5
3	71153941a	compound	control	fixed	tw	-	instructions:u	153661184.000000	153367590.000000	153758896.000000	5
3	71153941a	compound	control	per_pass	ir	-	instructions:u	2152.385646	2152.304526	2152.478004	5
3	71153941a	compound	control	fixed	ir	-	instructions:u	153904996.000000	153347589.000000	154226596.000000	5
3	71153941a	compound	control	per_pass_gap	ir-tw	-	instructions:u	-801.082840	-801.218595	-800.989333	5
3	71153941a	compound	control	arm_ratio	ir/tw	small	cycles:u	0.638861	0.529758	0.724015	5
3	71153941a	compound	control	absolute	tw	small	cycles:u	2057916786.000000	1704078642.000000	2472534531.000000	5
3	71153941a	compound	control	absolute	ir	small	cycles:u	1090198784.000000	1079804984.000000	1771968710.000000	5
3	71153941a	compound	control	arm_ratio	ir/tw	large	cycles:u	0.698727	0.587395	0.759721	5
3	71153941a	compound	control	absolute	tw	large	cycles:u	3570364096.000000	3276647248.000000	4992407526.000000	5
3	71153941a	compound	control	absolute	ir	large	cycles:u	2489339359.000000	2095583563.000000	3488331706.000000	5
3	71153941a	compound	control	per_pass	tw	-	cycles:u	680.451068	604.978924	1017.994783	5
3	71153941a	compound	control	fixed	tw	-	cycles:u	131510036.000000	-97566388.000000	545469476.000000	5
3	71153941a	compound	control	per_pass	ir	-	cycles:u	560.267827	402.806203	688.759145	5
