task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
5b-drift	b1ec122ca	arith	base	absolute	ir	small	cycles:u	2052311976.000000	2045362936.000000	2063872126.000000	7
5b-drift	b1ec122ca	arith	base	arm_ratio	ir/tw	large	cycles:u	0.967688	0.960939	0.976258	7
5b-drift	b1ec122ca	arith	base	absolute	tw	large	cycles:u	4203449839.000000	4198624255.000000	4238532883.000000	7
5b-drift	b1ec122ca	arith	base	absolute	ir	large	cycles:u	4073460996.000000	4045260092.000000	4098939270.000000	7
5b-drift	b1ec122ca	arith	base	per_pass	tw	-	cycles:u	8435.112148	8351.734092	8563.528972	7
5b-drift	b1ec122ca	arith	base	fixed	tw	-	cycles:u	-9488433.000000	-43231603.000000	22757209.000000	7
5b-drift	b1ec122ca	arith	base	per_pass	ir	-	cycles:u	8086.274020	7999.588624	8167.018316	7
5b-drift	b1ec122ca	arith	base	fixed	ir	-	cycles:u	30743471.000000	15430112.000000	45465780.000000	7
5b-drift	b1ec122ca	arith	base	per_pass_gap	ir-tw	-	cycles:u	-376.206488	-473.037636	-184.715776	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	small	instructions:u	0.923339	0.919743	0.926019	7
5b-drift	b1ec122ca	arith	head	absolute	tw	small	instructions:u	6935344250.000000	6925883704.000000	6951226172.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	small	instructions:u	6403670670.000000	6393156120.000000	6418521433.000000	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	large	instructions:u	0.912498	0.910939	0.913879	7
5b-drift	b1ec122ca	arith	head	absolute	tw	large	instructions:u	13763955213.000000	13743082378.000000	13787454912.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	large	instructions:u	12559518337.000000	12557376047.000000	12559694277.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	tw	-	instructions:u	27306.095320	27249.676244	27443.845476	7
5b-drift	b1ec122ca	arith	head	fixed	tw	-	instructions:u	109837930.000000	65532174.000000	138807111.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	ir	-	instructions:u	24623.697712	24556.283420	24665.448868	7
5b-drift	b1ec122ca	arith	head	fixed	ir	-	instructions:u	247737266.000000	226793903.000000	279450578.000000	7
5b-drift	b1ec122ca	arith	head	per_pass_gap	ir-tw	-	instructions:u	-2690.350380	-2861.972948	-2593.539596	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	small	cycles:u	0.935382	0.916321	0.948756	7
5b-drift	b1ec122ca	arith	head	absolute	tw	small	cycles:u	2141581914.000000	2131096924.000000	2183974445.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	small	cycles:u	2005021191.000000	1999533114.000000	2028819003.000000	7
5b-drift	b1ec122ca	arith	head	arm_ratio	ir/tw	large	cycles:u	0.924924	0.916961	0.939456	7
5b-drift	b1ec122ca	arith	head	absolute	tw	large	cycles:u	4223656199.000000	4203652141.000000	4255502290.000000	7
5b-drift	b1ec122ca	arith	head	absolute	ir	large	cycles:u	3916267601.000000	3901988180.000000	3949147121.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	tw	-	cycles:u	8318.331588	8078.710784	8458.060868	7
5b-drift	b1ec122ca	arith	head	fixed	tw	-	cycles:u	51514027.000000	26471856.000000	164296749.000000	7
5b-drift	b1ec122ca	arith	head	per_pass	ir	-	cycles:u	7617.571584	7517.492500	7791.698476	7
5b-drift	b1ec122ca	arith	head	fixed	ir	-	cycles:u	95140218.000000	53297883.000000	143383980.000000	7
5b-drift	b1ec122ca	arith	head	per_pass_gap	ir-tw	-	cycles:u	-682.976652	-940.568368	-287.012308	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	small	instructions:u	1.051521	1.050087	1.053929	7
5b-drift	b1ec122ca	arith	base>head	across_builds	ir	small	instructions:u	1.047482	1.045762	1.049911	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	large	instructions:u	1.042066	1.040485	1.043845	7
5b-drift	b1ec122ca	arith	base>head	across_builds	ir	large	instructions:u	1.035556	1.035379	1.035570	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	small	cycles:u	1.018706	1.007953	1.042643	7
5b-drift	b1ec122ca	arith	base>head	across_builds	ir	small	cycles:u	0.977659	0.971975	0.991911	7
5b-drift	b1ec122ca	arith	base>head	across_builds	tw	large	cycles:u	1.005962	0.993327	1.009805	7
5b-drift	b1ec122ca	arith	base>head	across_builds	ir	large	cycles:u	0.961311	0.952215	0.970872	7
5b-drift	b1ec122ca	compound	base	arm_ratio	ir/tw	small	instructions:u	0.700135	0.700135	0.700135	7
5b-drift	b1ec122ca	compound	base	absolute	tw	small	instructions:u	6820489738.000000	6820489229.000000	6820490367.000000	7
5b-drift	b1ec122ca	compound	base	absolute	ir	small	instructions:u	4775264633.000000	4775263934.000000	4775265710.000000	7
5b-drift	b1ec122ca	compound	base	arm_ratio	ir/tw	large	instructions:u	0.700112	0.700112	0.700112	7
5b-drift	b1ec122ca	compound	base	absolute	tw	large	instructions:u	13639190525.000000	13639189848.000000	13639191012.000000	7
5b-drift	b1ec122ca	compound	base	absolute	ir	large	instructions:u	9548964532.000000	9548963609.000000	9548965308.000000	7
5b-drift	b1ec122ca	compound	base	per_pass	tw	-	instructions:u	2727.480349	2727.479792	2727.480518	7
5b-drift	b1ec122ca	compound	base	fixed	tw	-	instructions:u	1788802.000000	1787933.000000	1790886.000000	7
5b-drift	b1ec122ca	compound	base	per_pass	ir	-	instructions:u	1909.480039	1909.479350	1909.480434	7
5b-drift	b1ec122ca	compound	base	fixed	ir	-	instructions:u	1564699.000000	1563138.000000	1567334.000000	7
5b-drift	b1ec122ca	compound	base	per_pass_gap	ir-tw	-	instructions:u	-818.000110	-818.001168	-817.999744	7
5b-drift	b1ec122ca	compound	base	arm_ratio	ir/tw	small	cycles:u	0.619699	0.557517	0.623039	7
5b-drift	b1ec122ca	compound	base	absolute	tw	small	cycles:u	1457955732.000000	1456453386.000000	1619632748.000000	7
5b-drift	b1ec122ca	compound	base	absolute	ir	small	cycles:u	903567764.000000	901029139.000000	908578753.000000	7
5b-drift	b1ec122ca	compound	base	arm_ratio	ir/tw	large	cycles:u	0.619725	0.616862	0.622158	7
5b-drift	b1ec122ca	compound	base	absolute	tw	large	cycles:u	2916472911.000000	2909753495.000000	2924906293.000000	7
5b-drift	b1ec122ca	compound	base	absolute	ir	large	cycles:u	1807854873.000000	1803379160.000000	1811947031.000000	7
5b-drift	b1ec122ca	compound	base	per_pass	tw	-	cycles:u	581.761093	518.736065	587.381163	7
5b-drift	b1ec122ca	compound	base	fixed	tw	-	cycles:u	3552999.000000	-11999521.000000	322792585.000000	7
5b-drift	b1ec122ca	compound	base	per_pass	ir	-	cycles:u	360.667790	358.365166	364.367157	7
5b-drift	b1ec122ca	compound	base	fixed	ir	-	cycles:u	3397326.000000	-9888753.000000	11911150.000000	7
5b-drift	b1ec122ca	compound	base	per_pass_gap	ir-tw	-	cycles:u	-220.791044	-228.419459	-156.960944	7
5b-drift	b1ec122ca	compound	head	arm_ratio	ir/tw	small	instructions:u	0.727881	0.727847	0.727932	7
5b-drift	b1ec122ca	compound	head	absolute	tw	small	instructions:u	7506572945.000000	7506477998.000000	7506781216.000000	7
5b-drift	b1ec122ca	compound	head	absolute	ir	small	instructions:u	5463888892.000000	5463704837.000000	5464207519.000000	7
5b-drift	b1ec122ca	compound	head	arm_ratio	ir/tw	large	instructions:u	0.725092	0.725075	0.725107	7
5b-drift	b1ec122ca	compound	head	absolute	tw	large	instructions:u	14860336221.000000	14860225780.000000	14860502399.000000	7
5b-drift	b1ec122ca	compound	head	absolute	ir	large	instructions:u	10775115838.000000	10774953695.000000	10775323907.000000	7
5b-drift	b1ec122ca	compound	head	per_pass	tw	-	instructions:u	2941.498240	2941.399641	2941.609760	7
5b-drift	b1ec122ca	compound	head	fixed	tw	-	instructions:u	152809669.000000	152453597.000000	153282114.000000	7
5b-drift	b1ec122ca	compound	head	per_pass	ir	-	instructions:u	2124.511620	2124.306738	2124.577454	7
5b-drift	b1ec122ca	compound	head	fixed	ir	-	instructions:u	152612215.999999	152293836.000000	153440675.000000	7
5b-drift	b1ec122ca	compound	head	per_pass_gap	ir-tw	-	instructions:u	-816.986620	-817.303023	-816.889509	7
